empty,CITY,STATE,PHYSICAL ZIP,POP,age0s,age10s,age20s,age30s,age40s,age50s,age60s,age70s,age80plus,type
55,RUGBY,ND,58368,2509,10,11.1,9.6,11.2,11.6,12.4,14.4,10.6,9,Rural
56,TIOGA,ND,58852,2202,13.7,12.2,15.3,16.3,11.5,13.6,8.8,4.9,3.8,Rural
57,SYRACUSE,NE,68446,1941,13.3,13,8.1,12.2,11,11.2,12.2,9.8,9.2,Rural
58,MINDEN,NE,68959,3118,14.1,13.7,11.5,12.7,11.4,11.1,11.5,8.3,5.8,Rural
59,GORHAM,NH,03581,1851,8.5,9.3,9.1,8.4,13,14.6,20.2,11.4,5.4,Rural
60,FARMINGTON,NH,03835,3824,10.6,10.6,13.5,13.3,12.2,15.1,13.7,8,2.9,Rural
61,RUTGERS UNIVERSITY-LIVINGSTON CAMPUS,NJ,08901,3545,0.2,44.1,55.1,0.2,0.2,0.1,0.1,0,0,Rural
62,LAKEHURST,NJ,08733,2636,12.5,12.6,14.9,13.9,13.3,14.9,10.8,4.8,2.2,Rural
631,DULCE,NM,87528,2788,15.5,18.6,13.5,14.1,10.6,13.3,8.6,4.3,1.5,Rural
64,MILAN,NM,87021,2456,10.2,13,14.7,19.7,13.1,10.9,10.1,5.8,2.4,Rural
651,CARLIN,NV,89822,2050,13.4,11.1,14.1,14,11.6,15.6,12.9,4.6,2.7,Rural
661,WASHOE VALLEY,NV,89704,3074,7.7,9.4,6.5,9.4,10.3,16,22.4,13.8,4.5,Rural
67,DOLGEVILLE,NY,13329,2042,11.4,13.6,9.3,12.1,12.4,10.1,16.2,9.1,5.7,Rural
68,PALMYRA,NY,14522,3305,10.6,12.8,13.3,12.7,12.4,12.9,14.3,8,3.1,Rural
69,MCCOMB,OH,45858,1558,15.5,14.6,12.9,11.6,12.8,10.9,11.7,7.4,2.7,Rural
70,BLUFFTON,OH,45817,3967,10,16.9,15.8,9.6,9.9,10.4,11.3,7.9,8.2,Rural
71,CHELSEA,OK,74016,1991,13.1,15.6,14.2,12.4,11.2,11.3,11.7,6,4.5,Rural
72,KIEFER,OK,74041,2187,16.3,15,11.9,16,12.4,11,10.4,4.4,2.6,Rural
73,ENTERPRISE,OR,97828,2052,12.6,11.8,7,13.8,11,11.8,16,10.2,5.9,Rural
741,HUBBARD,OR,97032,3426,15.4,17.3,12.7,15,14,11.3,8.6,4,1.7,Rural
751,WARMINSTER HEIGHTS,PA,18974,4010,12.9,11.6,15,15.4,11,12.7,12.2,5.5,3.6,Rural
76,STORMSTOWN,PA,16870,2468,12.1,15.9,7.5,11.4,14.8,17.1,14.8,5.1,1.3,Rural
77,ASHAWAY,RI,02804,1501,12.1,11.6,10.3,12.8,10.2,17,13.8,8.7,3.8,Rural
78,HARRISVILLE,RI,02830,1745,10.1,11.7,11.2,11.6,11.8,15.1,15.1,8.4,4.8,Rural
791,ROEBUCK,SC,29369,2357,12.3,12.7,12.3,12.4,12.4,12.6,12.7,9.2,3.4,Rural
80,GASTON,SC,29053,1608,12.6,15.2,11.8,13.1,11.7,14.2,13,6.1,2.5,Rural
811,PINE RIDGE,SD,57770,3138,16.2,23.4,13.5,13.2,10.3,10.8,8.1,3.3,1.3,Rural
821,BERESFORD,SD,57004,2180,14.4,14.4,10.2,12.6,10.6,12,11.7,8.9,5.1,Rural
831,RURAL HILL,TN,37076,2047,9.4,10.7,8.1,9.2,11.8,17.8,19.6,10.5,3,Rural
84,NEW UNION,TN,37355,1646,11.3,14.5,8.8,12.6,14.3,13.1,11.6,10.1,3.7,Rural
851,ALBANY,TX,76430,1854,12.4,14.7,9.9,10.3,10.7,11.6,15,9.8,5.4,Rural
86,DIBOLL,TX,75941,4457,12.4,14.8,12.4,13.9,14.1,12,10.5,6.5,3.5,Rural
871,WELLINGTON,UT,84542,1605,13.3,15.7,14.4,11.4,12.2,10,12.4,6.9,3.6,Rural
88,FRANCIS,UT,84036,1564,16.8,18,9.6,14.2,15.6,11.5,8,4.7,1.4,Rural
891,SHENANDOAH FARMS,VA,22630,4135,13.7,11.9,11.2,15.6,13.9,16.1,11.6,4.6,1.4,Rural
90,HORSE PASTURE,VA,24112,2058,7.7,10.7,7.4,12.4,11.7,16.2,15.1,11.9,7,Rural
91,MILTON,VT,05446,3804,10.7,12.9,11.7,13.7,11.9,15.7,13.6,7.2,2.5,Rural
921,PROCTOR,VT,05765,1565,10.6,12,10.5,12.3,12,14.7,15.8,8.8,3.3,Rural
93,PEACEFUL VALLEY,WA,98266,3015,14,12.3,12.6,14.8,11.9,14.1,13.2,5.4,1.6,Rural
94,CASCADE VALLEY,WA,98837,4332,14.9,16.2,10.5,12.7,12.4,11.7,12,6.8,2.9,Rural
951,CRANDON,WI,54520,1713,12.7,11.6,11.9,10.8,9.7,13.9,15.1,9,5.2,Rural
961,MAINE,WI,54401,2613,10.1,11.9,9.5,11.5,12.1,15.6,16.3,9.6,3.6,Rural
971,MADISON,WV,25130,2913,10,13,10,11.8,12.9,12.2,16.8,9,4.5,Rural
981,WELCH,WV,24801,3590,4.6,5.8,15,27.1,19.7,12.4,9.2,4,2.2,Rural
99,LYMAN,WY,82937,2135,19.2,15.6,10.8,14.7,11.2,8.7,13.1,4.7,1.9,Rural
1001,FORT WASHAKIE,WY,82514,1650,19,19.7,13.5,12.5,10.1,9.6,7.4,5,3.1,Rural
1011,JAUCA,PR,00757,1688,6.5,8.6,10.3,9.6,11,18,14.2,13.5,8.3,Rural
102,MARIANO COLON,PR,00769,1749,8.3,13,12.3,10.2,10.6,16.3,13.7,10.8,4.9,Rural
